serial,ref_file,inp_file,mask_file,psnr,ssim,lpips,masked_psnr,masked_ssim,niqe,piqe,brisque,norm_psnr,norm_ssim,norm_lpips,norm_masked_psnr,norm_masked_ssim,norm_niqe,norm_brisque,norm_piqe,combined_metric
0051,0051_tabletop.jpg,0051_tabletop_giraffe_inpainted.png,0051_mask_giraffe.png,38.33,0.9843,0.0163,28.56,0.9011,4.5533,36.8039,36.9196,0.6223159509202453,0.8736208625877627,0.7796610169491527,0.53983101991551,0.8770524103507157,0.9123642459729343,0.4380619053493618,0.642451091535653,0.4551195660914321
0052,0052_tabletop.jpg,0052_tabletop_plane_inpainted.png,0052_mask_plane.png,41.9,0.9943,0.0015,41.96,0.9935,4.5332,37.0478,36.506,0.75920245398773,0.9739217652958871,0.9887005649717515,0.944176222088111,0.9984237488506501,0.9148059962584126,0.4443611851053104,0.6374510812855295,0.5443649568510738
0053,0053_tabletop.jpg,0053_tabletop_car_inpainted.png,0053_mask_car.png,37.7,0.9908,0.0085,27.12,0.9371,4.517,36.5251,36.8699,0.5981595092024541,0.9388164493480442,0.8898305084745765,0.49637899818949915,0.9243399448312096,0.9167739741004398,0.43881885458502584,0.6481665604070529,0.4853612934050149
0054,0054_tabletop.jpg,0054_tabletop_book_inpainted.png,0054_mask_book.png,41.7,0.9941,0.0017,41.3,0.9905,4.5354,40.1885,34.7531,0.7515337423312884,0.9719157472417249,0.9858757062146895,0.9242607121303559,0.9944831209772758,0.9145387400082607,0.47105849527020954,0.5730659554447632,0.5418650391575405
0055,0055_tabletop.jpg,0055_tabletop_ronaldo_inpainted.png,0055_mask_ronaldo.png,40.91,0.9913,0.0031,33.71,0.9578,4.4848,34.5448,36.0562,0.7212423312883435,0.9438314944834498,0.9661016949152542,0.6952323476161738,0.9515302771574936,0.9206856337617533,0.4512118041435737,0.6887631995965552,0.5262351041374095
0056,0056_tabletop.jpg,0056_tabletop_mug_inpainted.png,0056_mask_mug.png,41.9,0.9944,0.0015,41.28,0.9919,4.5353,35.2254,36.7369,0.75920245398773,0.9749247743229683,0.9887005649717515,0.9236572118286058,0.996322080651517,0.9145508880196312,0.44084449338469023,0.6748107314693143,0.54456555865649
0057,0057_playground.jpg,0057_playground_bench_inpainted.png,0057_mask_bench.png,22.37,0.9144,0.0555,11.8,0.4476,5.301,47.3999,50.616,0.010352760736196303,0.17251755265797383,0.2259887005649717,0.034097767048883544,0.28136083015893865,0.8215335649554169,0.22946070793791498,0.42523047402721204,0.08177180279182836
0058,0058_playground.jpg,0058_playground_tree_inpainted.png,0058_mask_tree.png,24.54,0.9534,0.0278,11.42,0.5318,5.1986,48.8139,51.7548,0.09355828220858887,0.5636910732196592,0.6172316384180792,0.022631261315630657,0.39196111913831605,0.8339731285988485,0.2121163660953756,0.3962431247296531,0.2548961987692654
0059,0059_playground.jpg,0059_playground_giraffe_inpainted.png,0059_mask_giraffe.png,24.94,0.9428,0.0333,13.1,0.6326,5.3346,48.3592,52.0589,0.10889570552147239,0.45737211634904684,0.53954802259887,0.07332528666264332,0.5243662156836989,0.8174518331349159,0.20748481151659426,0.40556458705327403,0.22116316889387785
0060,0060_playground.jpg,0060_playground_plane_inpainted.png,0060_mask_plane.png,30.45,0.9741,0.0143,16.63,0.8027,5.3007,46.2927,51.6691,0.3201687116564417,0.7713139418254761,0.8079096045197741,0.17984308992154494,0.7477998161040323,0.8215700089895285,0.21342160853997139,0.4479283475365878,0.37987845160033834
0061,0061_playground.jpg,0061_playground_car_inpainted.png,0061_mask_car.png,25.45,0.9516,0.0287,12.28,0.4483,5.2282,47.2089,51.9811,0.1284509202453987,0.5456369107321966,0.6045197740112994,0.04858177429088713,0.2822803099960593,0.830377317233169,0.20866973406256337,0.42914602120955564,0.2557215209977789
0062,0062_playground.jpg,0062_playground_book_inpainted.png,0062_mask_book.png,25.46,0.9474,0.0315,13.39,0.5522,5.1637,46.3958,52.4069,0.12883435582822084,0.5035105315947845,0.5649717514124294,0.08207604103802053,0.4187573886772626,0.8382127845671664,0.20218464383025456,0.44581477206800346,0.23946332776708693
0063,0063_playground.jpg,0063_playground_ronaldo_inpainted.png,0063_mask_ronaldo.png,25.75,0.9451,0.0315,13.07,0.4625,5.0113,47.5421,51.3304,0.1399539877300613,0.48044132397191625,0.5649717514124294,0.07242003621001812,0.3009326152633653,0.8567263538958674,0.2185801338140038,0.42231533889983386,0.23707341262288137
0064,0064_playground.jpg,0064_playground_mug_inpainted.png,0064_mask_mug.png,22.1,0.9263,0.05,10.67,0.3431,5.1567,47.5506,48.8588,0.0,0.29187562688064206,0.30367231638418074,0.0,0.14409562590306058,0.8390631453631042,0.2562235086805476,0.42214108680009593,0.11910958865296455
