Msg Timestamp,Message,Layer Id,Time,RuntimeGraph Name
9471295449,EXECUTE_TIME_SUBNET_0,-1,36,CPU,mymodel_float32
9471295449,TOTAL_INFERENCE_TIME,-1,47,us,mymodel_float32
9471295449,FORWARD_PROPAGATE,-1,43,us,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,0,5,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,1,2,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,2,18,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,3,2,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,4,2,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,5,2,CPU,mymodel_float32
9471295449,EXECUTE_TIME_SUBNET_0,-1,88,CPU,mymodel_float32
9471295449,TOTAL_INFERENCE_TIME,-1,101,us,mymodel_float32
9471295449,FORWARD_PROPAGATE,-1,96,us,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,0,72,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,1,2,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,2,3,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,3,2,CPU,mymodel_float32
